timestamp;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
105731;-0.36;-0.19;9.52;0.0625;0.0;0.0
105731;-0.36;-0.22;9.56;-0.125;0.0;-0.0625
105731;-0.37;-0.22;9.54;0.0625;-0.125;0.0625
105731;-0.38;-0.21;9.56;0.0;-0.0625;-0.0625
105731;-0.38;-0.21;9.55;-0.0625;-0.125;-0.0625
105731;-0.35;-0.21;9.53;0.0;0.0;0.0
105731;-0.36;-0.22;9.52;-0.0625;0.0;0.0
105731;-0.36;-0.24;9.5;-0.0625;-0.125;0.0
105731;-0.35;-0.22;9.5;-0.0625;-0.0625;0.0625
105731;-0.39;-0.22;9.53;-0.125;0.0;-0.0625
105731;-0.38;-0.21;9.53;0.0625;0.0625;0.0
105731;-0.36;-0.21;9.52;-0.125;0.125;-0.125
105732;-0.36;-0.21;9.55;0.125;-0.125;-0.0625
105732;-0.36;-0.22;9.54;0.125;-0.3125;0.0
105732;-0.36;-0.23;9.55;0.0625;0.0625;0.0
105732;-0.37;-0.23;9.53;0.0625;-0.0625;-0.0625
105732;-0.36;-0.22;9.52;0.0;0.0;-0.0625
105732;-0.37;-0.22;9.54;0.0;0.0625;-0.0625
105732;-0.37;-0.23;9.54;0.0;0.125;-0.125
105732;-0.37;-0.21;9.53;0.0625;-0.0625;0.1875
105732;-0.36;-0.19;9.52;0.0;-0.375;0.0
105732;-0.37;-0.22;9.53;0.0625;0.0;0.0
105732;-0.34;-0.23;9.51;-0.0625;0.1875;-0.0625
105732;-0.36;-0.22;9.53;0.0;0.0;0.0
105732;-0.35;-0.2;9.54;0.0625;-0.0625;-0.0625
105732;-0.37;-0.25;9.52;0.125;-0.0625;-0.0625
105732;-0.34;-0.22;9.54;-0.0625;0.0;-0.0625
105732;-0.38;-0.2;9.54;0.125;0.1875;-0.0625
105732;-0.38;-0.22;9.53;-0.0625;0.0;0.0
105732;-0.37;-0.21;9.52;-0.125;-0.0625;0.0
105732;-0.37;-0.22;9.52;0.0;-0.0625;0.0625
105732;-0.36;-0.24;9.52;0.0625;-0.0625;-0.125
105732;-0.37;-0.23;9.55;0.0;-0.0625;-0.125
105732;-0.36;-0.23;9.53;0.125;-0.125;-0.0625
105732;-0.36;-0.22;9.53;0.0;0.0625;0.0
105732;-0.38;-0.26;9.52;-0.125;-0.0625;-0.125
105732;-0.39;-0.2;9.54;0.0625;0.0625;0.125
105732;-0.37;-0.22;9.52;0.0;-0.0625;-0.0625
105732;-0.38;-0.23;9.53;-0.125;-0.0625;0.0
105732;-0.35;-0.18;9.53;-0.0625;0.25;-0.125
105732;-0.34;-0.23;9.53;-0.125;0.0625;-0.0625
105732;-0.37;-0.2;9.52;-0.0625;-0.125;0.0625
105732;-0.37;-0.25;9.53;0.0625;-0.25;-0.1875
